PartcipantID:be18
instanceNumber;c;p;w;v;id;type;sol
1;90;100;48,34,43,32,20,44;26,24,34,47,17,11;98-0.41-0.63;1;0
2;50;112;29,12,11,42,20,1;30,17,27,48,34,19;66-0.44-0.64;1;0
3;57;91;24,48,15,33,3,18;11,49,5,25,9,44;63-0.41-0.64;1;0
4;69;134;39,36,10,9,17,48;40,47,33,44,42,4;36-0.44-0.64;1;0
5;60;108;11,35,40,15,7,29;18,45,18,5,37,44;234-0.44-0.65;1;0
6;65;116;28,5,20,45,38,23;33,49,17,32,15,33;28-0.41-0.65;1;0
7;79;124;43,5,39,36,29,32;41,7,36,44,23,49;170-0.43-0.62;1;0
8;85;66;37,24,49,42,36,11;25,9,17,35,5,15;247-0.43-0.63;1;0
9;43;109;24,2,27,18,20,9;48,17,3,38,36,38;220-0.43-0.61;1;0
10;62;77;17,14,39,25,2,42;1,41,26,36,13,10;109-0.45-0.61;2;1
11;65;94;23,12,25,42,13,42;43,3,17,14,49,24;246-0.42-0.63;2;1
12;69;124;29,8,19,41,40,32;47,40,39,44,23,11;144-0.41-0.61;2;1
13;56;77;21,16,34,7,8,46;16,29,35,26,6,13;123-0.43-0.62;2;1
14;61;93;1,38,8,39,14,37;21,18,35,3,35,38;38-0.45-0.62;2;1
15;69;77;16,41,46,29,4,30;3,29,1,35,8,43;235-0.42-0.65;2;1
16;75;64;49,25,27,38,13,19;14,9,40,5,10,24;93-0.44-0.63;2;1
17;68;50;13,16,45,49,18,14;9,8,1,20,34,9;125-0.44-0.62;2;1
18;77;96;37,29,46,7,48,10;36,41,1,3,45,23;243-0.44-0.65;2;1
19;59;110;8,18,36,15,20,41;25,33,49,17,43,5;104-0.43-0.64;3;0
20;65;116;33,31,37,20,18,10;43,46,25,37,17,23;82-0.44-0.61;3;0
21;66;109;27,18,19,20,38,33;1,31,34,37,22,49;149-0.43-0.63;3;0
22;71;116;36,23,29,19,28,39;48,39,6,34,29,35;141-0.41-0.61;3;0
23;91;123;27,27,43,29,44,33;35,29,15,38,29,47;112-0.45-0.64;3;0
24;89;74;42,47,31,5,39,40;22,40,17,5,29,1;72-0.44-0.65;3;0
25;72;98;40,10,40,39,27,22;16,13,29,29,33,34;49-0.41-0.64;3;0
