PartcipantID:be19
InitialTimeStamp:11-35-54-577
block;trial;item;In(1)/Out(0);time
1;1;1;1;3.495674
1;1;3;1;9.187107
1;1;2;1;21.73333
1;2;4;1;4.356461
1;2;2;1;10.778
1;2;5;1;17.41717
1;3;4;1;6.49403
1;3;6;1;14.25393
1;3;1;1;19.97591
1;3;6;0;26.633
1;3;3;1;37.0934
1;4;3;1;2.225853
1;4;5;1;10.70868
1;4;6;1;24.17397
1;4;6;0;39.40507
1;4;2;1;41.19036
1;4;5;0;52.28888
1;4;2;0;53.33942
1;4;6;1;54.14432
1;4;1;1;55.25503
1;5;1;1;3.476856
1;5;3;1;5.113705
1;5;5;1;7.000565
1;5;2;1;27.26176
1;5;3;0;28.91249
1;6;3;1;3.19165
1;6;4;1;9.351318
1;6;4;0;20.49186
1;6;5;1;21.47272
1;6;6;1;23.88882
1;6;5;0;38.51262
1;6;1;1;39.8542
1;6;2;1;51.94848
1;7;5;1;4.186802
1;7;6;1;8.23624
1;7;4;1;23.07333
1;8;1;1;3.610851
1;8;5;1;10.54814
1;8;3;1;15.74746
1;9;5;1;2.475056
1;9;6;1;3.582439
1;9;2;1;9.304405
2;1;3;1;7.034817
2;1;5;1;8.652317
2;1;6;1;16.55189
2;2;2;1;2.107807
2;2;3;1;6.521564
2;2;1;1;16.09027
2;3;1;1;1.747498
2;3;3;1;4.589279
2;3;5;1;6.1605
2;3;3;0;34.67049
2;3;6;1;35.57486
2;4;6;1;4.159775
2;4;2;1;5.376862
2;4;4;1;6.75563
2;4;5;1;13.64022
2;5;5;1;1.990444
2;5;3;1;13.57073
2;5;2;1;16.59595
2;5;6;1;41.01876
2;5;3;0;42.02833
2;6;6;1;1.855282
2;6;1;1;3.094975
2;6;2;1;11.86673
2;7;1;1;4.319214
2;7;6;1;5.822037
2;7;5;1;14.02541
2;8;5;1;3.637882
2;8;1;1;4.821354
2;8;4;1;22.55037
2;8;3;1;23.68311
2;9;3;1;2.020367
2;9;2;1;6.5919
2;9;1;1;24.72588
